

Trajectories
100
,,LeftHand:Index1,,,LeftHand:Index2,,,LeftHand:Index3,,,LeftHand:Thumb1,,,LeftHand:Thumb2,,,LeftHand:Thumb3,,,LeftHand:Wrist1,,,LeftHand:Wrist2,,,LeftHand:Wrist3,,,LeftHand:Wrist4,,,Realsense:Camera1,,,Realsense:Camera2,,,Realsense:Camera3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
37,0,1173.917725,765.179199,746.662903,1199.568115,755.111267,745.521545,1220.368652,746.360229,747.789612,1094.930054,751.782959,744.087463,1117.628662,730.856750,744.591614,1141.366089,711.339661,746.869507,1130.830933,793.143127,744.087830,1127.483154,822.166809,745.105347,1081.621460,807.129761,745.570068,1011.896484,802.282593,745.487183,1524.876343,832.519226,1709.880859,1507.046265,781.389343,1724.252686,1521.374023,727.507141,1710.591919
38,0,1173.932617,765.181885,746.662903,1199.563721,755.103027,745.519592,1220.375122,746.374146,747.797241,1094.937622,751.779663,744.086548,1117.640381,730.858093,744.599854,1141.364990,711.339966,746.871094,1130.842773,793.137756,744.084351,1127.514648,822.219360,745.225952,1081.625610,807.125122,745.568298,1011.897095,802.274902,745.484924,1524.882446,832.515930,1709.885498,1507.050903,781.380066,1724.259399,1521.405396,727.499634,1710.596558
39,0,1173.926758,765.187378,746.669617,1199.558350,755.096985,745.516113,1220.356201,746.262695,747.753967,1094.937866,751.768860,744.087219,1117.631958,730.854370,744.594910,1141.365356,711.335449,746.865601,1130.848022,793.238647,744.204224,1127.475830,822.165222,745.109985,1081.621094,807.121582,745.564941,1011.900879,802.272583,745.479248,1524.878662,832.513306,1709.876953,1507.050293,781.375854,1724.251953,1521.393677,727.501343,1710.578125
40,0,1173.912109,765.168152,746.667297,1199.552490,755.093933,745.514465,1220.366943,746.344482,747.788147,1094.923584,751.771301,744.077271,1117.630737,730.844666,744.599487,1141.364624,711.336121,746.874329,1130.949585,793.144165,744.105835,1127.511963,822.218750,745.220947,1081.616577,807.116394,745.561401,1011.899475,802.272522,745.488098,1524.888794,832.500183,1709.875366,1507.046265,781.386597,1724.262451,1521.389160,727.523743,1710.600464
41,0,1173.912476,765.180237,746.662109,1199.561523,755.111755,745.523560,1220.379272,746.421875,747.776794,1094.924438,751.782166,744.084412,1117.628784,730.859985,744.605103,1141.360840,711.349426,746.874451,1130.966187,793.139771,744.057068,1127.479614,822.171326,745.110352,1081.618652,807.133179,745.568665,1011.903625,802.276978,745.485779,1524.879761,832.503784,1709.877441,1507.051392,781.385559,1724.255371,1521.386719,727.502136,1710.580444
42,0,1173.917114,765.190186,746.669250,1199.566772,755.106750,745.525452,1220.378662,746.361206,747.792603,1094.923950,751.762878,744.067627,1117.631714,730.854431,744.597412,1141.365356,711.327026,746.867249,1130.985474,793.143616,744.088806,1127.513428,822.218140,745.230469,1081.618896,807.128174,745.559265,1011.903992,802.275818,745.480957,1524.882935,832.507385,1709.878052,1507.051636,781.386841,1724.254883,1521.400513,727.529541,1710.601929
43,0,1173.920044,765.169067,746.664795,1199.567505,755.094116,745.507874,1220.354126,746.277405,747.758484,1094.932373,751.773132,744.083801,1117.633179,730.845642,744.587036,1141.365601,711.332397,746.870483,1130.987549,793.119141,744.035461,1127.513306,822.217407,745.229126,1081.629272,807.119751,745.556030,1011.898376,802.262390,745.475098,1524.879150,832.518860,1709.883545,1507.057983,781.376404,1724.257446,1521.400024,727.511169,1710.587769
44,0,1173.920654,765.185547,746.678040,1199.560791,755.086487,745.511536,1220.364868,746.366333,747.792908,1094.933228,751.780640,744.089844,1117.624634,730.849182,744.595337,1141.367065,711.346313,746.873718,1130.853638,793.110168,744.046753,1127.509521,822.227722,745.239197,1081.614746,807.120239,745.554016,1011.893982,802.271790,745.483521,1524.883057,832.515808,1709.885254,1507.055908,781.379883,1724.251221,1521.396240,727.519287,1710.593750
45,0,1173.923218,765.188416,746.666443,1199.567627,755.116089,745.523254,1220.373413,746.359070,747.777344,1094.931030,751.780945,744.083374,1117.624634,730.863342,744.610474,1141.357056,711.348633,746.875671,1130.866333,793.117737,744.061829,1127.511963,822.226440,745.223450,1081.619751,807.133606,745.570923,1011.901367,802.290100,745.490784,1524.881836,832.507812,1709.872192,1507.047607,781.380188,1724.261719,1521.409302,727.502197,1710.591064
46,0,1173.919434,765.175476,746.656860,1199.560669,755.097717,745.516174,1220.360229,746.341675,747.788757,1094.928955,751.780762,744.087097,1117.630127,730.856079,744.606506,1141.374512,711.330566,746.857910,1130.843750,793.129028,744.059326,1127.506104,822.219055,745.228943,1081.618164,807.133179,745.574524,1011.901001,802.282532,745.485229,1524.875854,832.518799,1709.880249,1507.054932,781.383301,1724.257446,1521.398438,727.525269,1710.593872
47,0,1173.926025,765.172852,746.658813,1199.560669,755.101379,745.515381,1220.383301,746.363831,747.780396,1094.930298,751.772278,744.091248,1117.628540,730.844727,744.598877,1141.359741,711.337524,746.867188,1130.943848,793.132141,744.066223,1127.520508,822.215027,745.234619,1081.622803,807.114563,745.558960,1011.902954,802.271667,745.485779,1524.874390,832.511108,1709.878540,1507.053345,781.384583,1724.260986,1521.387451,727.518066,1710.583496
48,0,1173.918213,765.160950,746.653503,1199.553955,755.102783,745.534607,1220.354614,746.269348,747.765381,1094.930908,751.767456,744.087646,1117.632446,730.843445,744.594849,1141.360718,711.332642,746.866211,1130.819214,793.142578,744.080933,1127.519409,822.215942,745.231506,1081.617920,807.119385,745.565857,1011.893738,802.278015,745.490417,1524.877686,832.510315,1709.879639,1507.050537,781.377747,1724.247803,1521.402832,727.530090,1710.598999
49,0,1173.921143,765.168518,746.655273,1199.561523,755.108582,745.526672,1220.356934,746.279907,747.761169,1094.925903,751.774109,744.081848,1117.629272,730.866760,744.614319,1141.354248,711.346375,746.870239,1130.926270,793.179199,744.106079,1127.459351,822.171326,745.123047,1081.627563,807.135803,745.571899,1011.899231,802.273010,745.486145,1524.876221,832.512085,1709.875977,1507.056519,781.388550,1724.262695,1521.393799,727.506897,1710.596680
